Term | TF-IDF country | TF-IDF pop | TF-IDF rap | TF-IDFrock
hangin'	|	1.249387	|	0.000000	|	0.374816	|	1.124449	|	
tonight	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
can	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
carry	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
'Cause	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Oh	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
lead	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
lifetime	|	0.249877	|	0.124939	|	0.000000	|	0.374816	|	
fightin'	|	1.505150	|	0.000000	|	0.301030	|	0.000000	|	
this	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
land	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Workin'	|	1.204120	|	0.000000	|	0.000000	|	0.000000	|	
nothin'	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
dry	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
callused	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
slave	|	0.124939	|	0.000000	|	0.249877	|	0.374816	|	
sun	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
It	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
cuttin'	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
slack	|	0.301030	|	0.000000	|	0.000000	|	0.301030	|	
Gets	|	0.301030	|	0.000000	|	0.000000	|	0.301030	|	
beggin'	|	0.124939	|	0.499755	|	0.000000	|	0.374816	|	
whenever	|	0.124939	|	1.499265	|	0.124939	|	0.000000	|	
Ain't	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
glory	|	0.999510	|	0.000000	|	0.624694	|	0.749632	|	
livin'	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
runnin'	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
from	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
sins	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
hope	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
there's	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
angels	|	2.709270	|	0.602060	|	0.000000	|	0.000000	|	
where	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
goin'	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
been	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Three	|	0.124939	|	0.624694	|	0.874571	|	0.000000	|	
generations	|	1.806180	|	0.000000	|	0.000000	|	0.000000	|	
countin'	|	0.249877	|	0.000000	|	0.124939	|	0.124939	|	
To	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
work	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
farm	|	15.051500	|	0.000000	|	0.000000	|	0.000000	|	
family	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Well	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
done	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
it's	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
past	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
becomin'	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
clear	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
That	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
can't	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
much	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
longer	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
People	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
ask	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
doin'	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
son	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
You're	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
drive	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
insane	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
You'll	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
find	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
sunshine	|	2.498775	|	0.749632	|	1.499265	|	0.000000	|	
followin'	|	0.124939	|	0.000000	|	0.249877	|	0.124939	|	
rain	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Seems	|	0.249877	|	0.499755	|	0.000000	|	0.624694	|	
I'd	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
new	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
road	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
After	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
wind	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
same	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
trail	|	0.301030	|	0.000000	|	0.000000	|	0.602060	|	
walkin'	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Memory	|	10.235020	|	0.000000	|	0.000000	|	0.000000	|	
Lane	|	7.224720	|	0.000000	|	0.000000	|	0.000000	|	
'cause	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
I'll	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Reminiscin'	|	1.806180	|	0.000000	|	0.000000	|	0.000000	|	
pain	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
recallin'	|	1.806180	|	0.000000	|	0.000000	|	0.000000	|	
